Title,Box Office in $,Release Year,Rotten Score,Ratings,Studio,Director(s)
Avengers: Endgame,2798000000,2019,94,PG-13,Walt Disney Pictures,"Anthony Russo, Joe Russo"
Avatar,2790000000,2009,82,PG-13,20th Century Fox,James Cameron
Titanic,2188000000,1997,89,PG-13,Paramount Pictures,James Cameron
Star Wars: Episode VII - The Force Awakens,2068000000,2015,93,PG-13,Walt Disney Pictures,J.J. Abrams
Avengers: Infinity War,2048000000,2018,85,PG-13,Walt Disney Pictures,"Anthony Russo, Joe Russo"
Jurassic World,1672000000,2015,72,PG-13,Universal Pictures,Colin Trevorrow
The Lion King,1655000000,2019,53,PG,Walt Disney Pictures,Jon Favreau
Marvel's The Avengers,1519000000,2012,91,PG-13,Walt Disney Pictures,Joss Whedon
Furious 7,1516000000,2015,81,PG-13,Universal Pictures,James Wan
Avengers: Age of Ultron,1405000000,2015,75,PG-13,Walt Disney Pictures,Joss Whedon
Frozen II,1371000000,2019,77,PG,Walt Disney Pictures,"Chris Buck, Jennifer Lee"
Black Panther,1347000000,2018,97,PG-13,Walt Disney Pictures,Ryan Coogler
Harry Potter and the Deathly Hallows - Part 2,1342000000,2011,96,PG-13,Warner Bros. Pictures,David Yates (II)
Star Wars: The Last Jedi,1333000000,2017,91,PG-13,Walt Disney Pictures,Rian Johnson
Jurassic World: Fallen Kingdom,1309000000,2018,48,PG-13,Universal Pictures,J.A. Bayona
Frozen,1277000000,2013,90,PG,Walt Disney Pictures,"Chris Buck, Jennifer Lee"
Beauty and the Beast,1264000000,2017,71,PG,Walt Disney Pictures,Bill Condon
Incredibles 2,1243000000,2018,94,PG,Walt Disney Pictures,Brad Bird
The Fate of the Furious,1236000000,2017,67,PG-13,Universal Pictures,F. Gary Gray
Iron Man 3,1215000000,2013,79,PG-13,Walt Disney Pictures,Shane Black
Minions,1159000000,2015,55,PG,Universal Pictures,"Pierre Coffin, Kyle Balda"
Captain America: Civil War,1153000000,2016,91,PG-13,Walt Disney Pictures,"Anthony Russo, Joe Russo"
Aquaman,1148000000,2018,65,PG-13,Warner Bros. Pictures,James Wan
Spider-Man: Far From Home,1132000000,2019,91,PG-13,Sony Pictures,Jon Watts
Captain Marvel,1128000000,2019,78,PG-13,Walt Disney Pictures,"Anna Boden, Ryan Fleck"
Transformers: Dark of the Moon,1124000000,2011,35,PG-13,Paramount Pictures,Michael Bay
The Lord of the Rings: The Return of the King,1120000000,2003,93,PG-13,Warner Bros. Pictures,Peter Jackson
Skyfall,1109000000,2012,92,PG-13,MGM,Sam Mendes
Transformers: Age of Extinction,1104000000,2014,18,PG-13,Paramount Pictures,Michael Bay
The Dark Knight Rises,1085000000,2012,87,PG-13,Warner Bros. Pictures,Christopher Nolan
Toy Story 4,1073000000,2019,97,G,Walt Disney Pictures,Josh Cooley
Toy Story 3,1067000000,2010,98,G,Walt Disney Pictures,Lee Unkrich
Pirates of the Caribbean: Dead Man's Chest,1066200000,2006,53,PG-13,Walt Disney Pictures,Gore Verbinski
Joker,1063000000,2019,69,R,Warner Bros. Pictures,Todd Phillips
Rogue One: A Star Wars Story,1056000000,2016,83,PG-13,Walt Disney Pictures,Gareth Edwards (V)
Aladdin,1051000000,2019,57,PG,Walt Disney Pictures,Guy Ritchie
Pirates of the Caribbean: On Stranger Tides,1046000000,2011,33,PG-13,Walt Disney Pictures,"Dariusz Wolski, Rob Marshall"
Despicable Me 3,1035000000,2017,58,PG,Universal Pictures,"Kyle Balda, Pierre Coffin, Eric Guillon"
Jurassic Park,1030000000,1993,91,PG-13,Universal Pictures,Steven Spielberg
Finding Dory,1029000000,2016,94,PG,Walt Disney Pictures,"Andrew Stanton, Angus MacLane"
Star Wars: Episode I - The Phantom Menace,1027000000,1999,53,PG,20th Century Fox,George Lucas
Alice in Wonderland,1026000000,2010,51,PG,Walt Disney Pictures,Tim Burton
Zootopia,1024000000,2016,98,PG,Walt Disney Pictures,"Byron Howard, Rich Moore, Jared Bush"
The Hobbit: An Unexpected Journey,1021000000,2012,64,PG-13,Warner Bros. Pictures,Peter Jackson
The Dark Knight,1005000000,2008,94,PG-13,Warner Bros. Pictures,Christopher Nolan
Star Wars: The Rise of Skywalker,989500000,2019,53,PG-13,Walt Disney Pictures,J.J. Abrams
Harry Potter and the Sorcerer's Stone,975100000,2001,81,PG,Warner Bros. Pictures,Chris Columbus
Despicable Me 2,970800000,2013,75,PG,Universal Pictures,"Pierre Coffin, Chris Renaud"
The Lion King,968500000,1994,93,G,Walt Disney Pictures,"Roger Allers, Rob Minkoff"
The Jungle Book,966600000,2016,94,PG,Walt Disney Pictures,Jon Favreau
