Title,Ratings,Studio,Director(s)
Avengers: Endgame,PG-13,Marvel Studios,"Joe Russo, Anthony Russo"
Avatar,PG-13,20th Century Fox,James Cameron
Titanic,PG-13,Paramount Pictures,James Cameron
Star Wars: Episode VII - The Force Awakens,PG-13,Walt Disney Pictures,J.J. Abrams
Avengers: Infinity War,PG-13,Walt Disney Pictures,"Anthony Russo, Joe Russo"
Jurassic World,PG-13,Universal Pictures,Colin Trevorrow
The Lion King,PG,Walt Disney Pictures,Jon Favreau
Marvel's The Avengers,PG-13,Walt Disney Pictures,"Joss Whedon, Robert Downey Jr."
Furious 7,PG-13,Universal Pictures,James Wan
Avengers: Age of Ultron,PG-13,Walt Disney Pictures,Joss Whedon
Frozen II,PG,Walt Disney Pictures,"Jennifer Lee, Chris Buck"
Black Panther,PG-13,Marvel Studios,Ryan Coogler
Harry Potter and the Deathly Hallows - Part 2,PG-13,Warner Bros. Pictures,David Yates (II)
Star Wars: The Last Jedi,PG-13,Walt Disney Pictures,Rian Johnson
Jurassic World: Fallen Kingdom,PG-13,Universal Pictures,J.A. Bayona
Frozen,PG,Walt Disney Pictures,"Chris Buck, Jennifer Lee"
Beauty and the Beast,PG,Walt Disney Pictures,Bill Condon
Incredibles 2,PG,Disney/Pixar,Brad Bird
The Fate of the Furious,PG-13,Universal Pictures,F. Gary Gray
Iron Man 3,PG-13,Walt Disney Pictures,Shane Black
Minions,PG,Universal Pictures,"Pierre Coffin, Kyle Balda"
Captain America: Civil War,PG-13,Walt Disney Pictures,"Anthony Russo, Joe Russo"
Aquaman,PG-13,Warner Bros. Pictures,James Wan
Spider-Man: Far From Home,PG-13,Sony Pictures,Jon Watts
Captain Marvel,PG-13,Marvel Studios,"Anna Boden, Ryan Fleck"
Transformers: Dark of the Moon,PG-13,Paramount Studios,Michael Bay
The Lord of the Rings: The Return of the King,PG-13,New Line Cinema,Peter Jackson
Skyfall,PG-13,MGM,Sam Mendes
Transformers: Age of Extinction,PG-13,Paramount Pictures,Michael Bay
The Dark Knight Rises,PG-13,Warner Bros. Pictures,Christopher Nolan
Toy Story 4,G,Disney/Pixar,Josh Cooley
Toy Story 3,G,Walt Disney Pictures,Lee Unkrich
Pirates of the Caribbean: Dead Man's Chest,PG-13,Buena Vista,Gore Verbinski
Joker,R,Warner Bros. Pictures,Todd Phillips
Rogue One: A Star Wars Story,PG-13,Walt Disney Pictures,Gareth Edwards (V)
Aladdin,PG,Walt Disney Pictures,Guy Ritchie
Pirates of the Caribbean: On Stranger Tides,PG-13,Walt Disney Pictures,"Dariusz Wolski, Rob Marshall"
Despicable Me 3,PG,Universal Pictures,"Kyle Balda, Pierre Coffin, Eric Guillon"
Jurassic Park,PG-13,Universal City Studios,Steven Spielberg
Finding Dory,PG,Walt Disney Pictures/PIXAR,"Andrew Stanton, Angus MacLane"
Star Wars: Episode I - The Phantom Menace,PG,20th Century Fox,George Lucas
Alice in Wonderland,PG,Walt Disney Pictures,Tim Burton
Zootopia,PG,Walt Disney Animation Studios,"Byron Howard, Rich Moore, Jared Bush"
The Hobbit: An Unexpected Journey,PG-13,Warner Bros.,Peter Jackson
The Dark Knight,PG-13,Warner Bros. Pictures/Legendary,Christopher Nolan
Star Wars: The Rise of Skywalker,PG-13,Walt Disney Pictures,J.J. Abrams
Harry Potter and the Sorcerer's Stone,PG,Warner Bros. Pictures,Chris Columbus
Despicable Me 2,PG,Universal Pictures,"Pierre Coffin, Chris Renaud"
The Lion King,G,Buena Vista,"Roger Allers, Rob Minkoff"
The Jungle Book,PG,Walt Disney Pictures,Jon Favreau
